Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
10.0.2.15,172.217.168.182,60815,443,UDP,0.147
74.125.4.8,10.0.2.15,443,59754,UDP,0.111
172.217.168.182,10.0.2.15,443,60815,UDP,0.358
172.217.168.182,10.0.2.15,443,60815,UDP,0.227
172.217.168.182,10.0.2.15,443,60815,UDP,0.127
10.0.2.15,74.125.4.8,59754,443,UDP,0.953
10.0.2.15,172.217.168.182,60815,443,UDP,0.577
172.217.168.182,10.0.2.15,443,60815,UDP,0.565
172.217.168.182,10.0.2.15,443,60815,UDP,0.962
172.217.168.182,10.0.2.15,443,60815,UDP,0.263
172.217.168.182,10.0.2.15,443,60815,UDP,0.547
10.0.2.15,172.217.168.182,60815,443,UDP,0.016
10.0.2.15,172.217.168.182,60815,443,UDP,0.294
